Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Theft ,19-0442 ,Martel College ,11/02/2019 7:14 p.m. ,11/1/2019,6 p.m. ,Friday,11/02/2019 6:30 p.m. ,Inactive 
Criminal Mischief ,19-0443 ,McMurtry College ,11/03/2019 8:11 a.m. ,11/2/2019,midnight ,Saturday,11/02/2019 midnight ,Inactive 
Harassment ,19-0444 ,Baker Hall ,11/04/2019 2:04 p.m. ,11/4/2019,2:04 p.m. ,Monday,11/04/2019 2:07 p.m. ,Inactive 
Harassment ,19-0446 ,Jones College ,11/04/2019 5:11 p.m. ,6/1/2019,midnight ,Saturday,11/04/2019 midnight ,Inactive 
Theft ,19-0449 ,Moody Lot ,11/05/2019 6:23 p.m. ,11/5/2019,6 p.m. ,Tuesday,11/05/2019 6 p.m. ,Inactive 
Extortion ,19-0450 ,McMurtry College ,11/06/2019 9:48 a.m. ,11/6/2019,4 a.m. ,Wednesday,11/06/2019 9 a.m. ,Inactive 
Theft ,19-0451 ,BRC ,11/06/2019 4:16 p.m. ,11/6/2019,11 a.m. ,Wednesday,11/06/2019 4:15 p.m. ,Inactive 
Harassment ,19-0454 ,Off Campus ,11/07/2019 9:23 p.m. ,11/7/2019,9:23 p.m. ,Thursday,11/07/2019 9:31 p.m. ,Inactive 
Fraud ,19-0455 ,BRC ,11/07/2019 7:36 p.m. ,11/5/2019,5:50 p.m. ,Tuesday,11/05/2019 7:05 p.m. ,Cleared 
Robbery (Clery) ,19-0457 ,Lovett College ,11/08/2019 3:08 p.m. ,11/8/2019,3:08 p.m. ,Friday,11/08/2019 5:57 p.m. ,Unfounded 
Theft from a Vehicle ,19-0458 ,South Colleges Lot ,11/08/2019 6:31 p.m. ,11/7/2019,10 p.m. ,Thursday,11/08/2019 5:20 p.m. ,Inactive 
Theft ,19-0460 ,Lovett College ,11/10/2019 1:20 p.m. ,11/10/2019,1 a.m. ,Sunday,11/10/2019 1:15 p.m. ,Inactive 
Theft ,19-0461 ,McMurtry College ,11/10/2019 11:30 p.m. ,10/28/2019,2 a.m. ,Monday,10/28/2019 2 a.m. ,Inactive 
Theft ,19-0462 ,Duncan College ,11/11/2019 7:51 a.m. ,11/11/2019,7:50 a.m. ,Monday,11/11/2019 10:18 a.m. ,Criminal Arrest 
Theft ,19-0465 ,Lovett College ,11/13/2019 12:11 a.m. ,11/9/2019,midnight ,Saturday,11/12/2019 midnight ,Inactive 
Theft ,19-0466 ,Rec Center ,11/13/2019 8:08 a.m. ,11/13/2019,6 a.m. ,Wednesday,11/13/2019 8 a.m. ,Inactive 
Theft ,19-0467 ,Rayzor Hall ,11/13/2019 6:24 p.m. ,11/13/2019,4:30 p.m. ,Wednesday,11/13/2019 5:30 p.m. ,Inactive 
Theft ,19-0468 ,Baker College ,11/14/2019 2:21 p.m. ,11/13/2019,11:52 a.m. ,Wednesday,11/13/2019 5:59 p.m. ,Inactive 
Theft ,19-0469 ,Dell Butcher Hall ,11/14/2019 10:15 a.m. ,11/13/2019,2 p.m. ,Wednesday,11/13/2019 5:30 p.m. ,Inactive 
Disorderly Conduct ,19-0470 ,Rice Memorial Center ,11/15/2019 11:05 a.m. ,11/15/2019,11:05 a.m. ,Friday,11/15/2019 11:16 a.m. ,Judicial Referral 
Fraud ,19-0472 ,Geology ,11/18/2019 9:37 a.m. ,11/18/2019,midnight ,Monday,11/18/2019 midnight ,Cleared 
Failure to Stop and Give Information ,19-0474 ,Central Campus Garage ,11/20/2019 12:08 p.m. ,11/18/2019,7:45 a.m. ,Monday,11/19/2019 4 p.m. ,Inactive 
Theft ,19-0476 ,McMurtry College ,11/22/2019 7:41 p.m. ,11/22/2019,5:10 p.m. ,Friday,11/22/2019 7 p.m. ,Inactive 
Criminal Mischief ,19-0477 ,Greenbriar Lot ,11/23/2019 12:54 a.m. ,11/23/2019,12:41 a.m. ,Saturday,11/23/2019 12:41 a.m. ,Inactive 
Theft ,19-0484 ,Alumni Drive ,11/25/2019 9:32 a.m. ,11/23/2019,3:30 p.m. ,Saturday,11/25/2019 9:30 a.m. ,Inactive 
Theft ,19-0485 ,Rice Memorial Center ,11/25/2019 11:08 a.m. ,11/24/2019,10 p.m. ,Sunday,11/24/2019 11 p.m. ,Inactive 
Theft ,19-0486 ,Kraft Hall ,11/25/2019 2:13 p.m. ,11/25/2019,12:41 p.m. ,Monday,11/25/2019 1:52 p.m. ,Inactive 
Theft ,19-0487 ,Wiess College ,11/26/2019 10:35 a.m. ,11/26/2019,1 a.m. ,Tuesday,11/26/2019 10 a.m. ,Inactive 
Harassment ,19-0488 ,Herring Hall ,11/27/2019 10:27 a.m. ,11/27/2019,12:04 a.m. ,Wednesday,11/27/2019 12:04 a.m. ,Inactive 
Theft ,19-0489 ,Anderson Hall ,11/30/2019 1:01 a.m. ,11/29/2019,11:45 a.m. ,Friday,11/30/2019 1 a.m. ,Inactive 
Theft ,19-0490 ,Fondren Library ,11/28/2019 1:15 p.m. ,11/27/2019,4 p.m. ,Wednesday,11/27/2019 6 p.m. ,Inactive 
Theft ,19-0491 ,George R Brown Tennis ,12/02/2019 11:31 a.m. ,11/27/2019,12:30 p.m. ,Wednesday,12/02/2019 6 a.m. ,Inactive 
Theft ,19-0492 ,Rice Village Apartments ,12/02/2019 8:40 p.m. ,12/2/2019,2:54 p.m. ,Monday,12/02/2019 8 p.m. ,Inactive 
Failure to Stop and Give Information ,19-0494 ,BRC ,12/03/2019 11:43 a.m. ,12/2/2019,8 a.m. ,Monday,12/03/2019 4 p.m. ,Inactive 
Theft ,19-0495 ,Anderson Hall ,12/03/2019 2:12 p.m. ,11/11/2019,8 p.m. ,Monday,11/14/2019 8 p.m. ,Inactive 
Theft ,19-0496 ,Sewall Hall ,12/03/2019 4:59 p.m. ,12/2/2019,11 a.m. ,Monday,12/03/2019 3 p.m. ,Inactive 
Assault ,19-0497 ,Soft Sidewalk ,12/03/2019 5:20 p.m. ,12/3/2019,5 p.m. ,Tuesday,12/03/2019 5:05 p.m. ,Inactive 
Theft ,19-0498 ,Rice University Police ,12/04/2019 8:02 a.m. ,12/3/2019,8 p.m. ,Tuesday,12/04/2019 8 a.m. ,Inactive 
Theft ,19-0499 ,Rayzor Hall ,12/05/2019 10:34 a.m. ,12/2/2019,6:40 p.m. ,Monday,12/03/2019 8:20 a.m. ,Inactive 
Warrants ,19-0500 ,Jesse H. Jones School ,12/05/2019 6:55 p.m. ,12/5/2019,7 p.m. ,Thursday,12/05/2019 11:13 p.m. ,Criminal Arrest 
Public Intoxication ,19-0501 ,Willys Pub ,12/05/2019 10:02 p.m. ,12/5/2019,10 p.m. ,Thursday,12/05/2019 10 p.m. ,Judicial Referral 
Harassment ,19-0502 ,Off Campus ,12/06/2019 10:21 a.m. ,12/5/2019,12:11 p.m. ,Thursday,12/06/2019 10:45 a.m. ,Inactive 
Public Intoxication ,19-0503 ,Rice Memorial Center ,12/07/2019 2:32 a.m. ,12/7/2019,2:32 a.m. ,Saturday,12/07/2019 3:37 a.m. ,Judicial Referral 
Warrants ,19-0504 ,Entrance #18 ,12/07/2019 8:51 a.m. ,12/7/2019,8:51 a.m. ,Saturday,12/07/2019 10:10 a.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0505 ,Greenbriar Lot ,12/07/2019 11:46 a.m. ,12/6/2019,7 a.m. ,Friday,12/06/2019 4 p.m. ,Inactive 
Theft ,19-0506 ,Brown College ,12/07/2019 3:46 p.m. ,12/6/2019,10 p.m. ,Friday,12/07/2019 7:30 a.m. ,Inactive 
Driving Under the Influence ,19-0507 ,Entrance 27A ,12/07/2019 9:07 p.m. ,12/7/2019,9 p.m. ,Saturday,12/08/2019 midnight ,Criminal Arrest 
Theft ,19-0508 ,A. P. Brown Hall ,12/08/2019 2:44 p.m. ,12/6/2019,6 p.m. ,Friday,12/08/2019 noon ,Inactive 
Theft ,19-0509 ,McMurtry College ,12/10/2019 1:40 p.m. ,12/9/2019,12:05 a.m. ,Monday,12/09/2019 9 a.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0510 ,BRC ,12/12/2019 2:44 p.m. ,12/12/2019,12:01 p.m. ,Thursday,12/12/2019 2:30 p.m. ,Inactive 
Theft ,19-0511 ,Rice Village Apartments ,12/12/2019 6:34 p.m. ,12/11/2019,11:30 a.m. ,Wednesday,12/12/2019 5 p.m. ,Inactive 
Fraud ,19-0512 ,Mudd Lab ,12/13/2019 10:32 a.m. ,12/12/2019,3:10 p.m. ,Thursday,12/13/2019 8 a.m. ,Inactive 
Fraud ,19-0513 ,Rice Village Apartments ,12/13/2019 3:49 p.m. ,12/13/2019,noon ,Friday,12/13/2019 3 p.m. ,Inactive 
Theft ,19-0514 ,Reckling Park ,12/13/2019 3:46 p.m. ,12/9/2019,2:30 p.m. ,Monday,12/09/2019 4 p.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0515 ,North Colleges Lot ,12/15/2019 7:24 a.m. ,12/15/2019,midnight ,Sunday,12/15/2019 3:20 p.m. ,Inactive 
Theft ,19-0516 ,Fondren Library ,12/17/2019 12:47 a.m. ,12/16/2019,10 p.m. ,Monday,12/17/2019 12:45 a.m. ,Inactive 
Theft ,19-0517 ,Wiess College ,12/17/2019 1:07 p.m. ,11/8/2019,midnight ,Friday,12/17/2019 noon ,Inactive 
Theft ,19-0518 ,Jones College ,12/18/2019 10:12 a.m. ,12/5/2019,midnight ,Thursday,12/05/2019 midnight ,Inactive 
Theft ,19-0519 ,Rec Center ,12/19/2019 7:09 a.m. ,12/19/2019,5 a.m. ,Thursday,12/19/2019 6:30 a.m. ,Criminal Arrest 
Criminal Trespass ,19-0520 ,Rec Center ,12/20/2019 5:58 a.m. ,12/20/2019,5:58 a.m. ,Friday,12/20/2019 9:05 a.m. ,Criminal Arrest 
Theft ,19-0521 ,Tudor Field House ,12/21/2019 10:28 a.m. ,12/14/2019,4 p.m. ,Saturday,12/15/2019 3 p.m. ,Inactive 
Theft ,19-0522 ,Duncan College ,12/25/2019 12:40 p.m. ,12/23/2019,8 p.m. ,Monday,12/25/2019 8 p.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0524 ,Off Campus ,12/29/2019 11:05 a.m. ,12/29/2019,11 a.m. ,Sunday,12/29/2019 3 p.m. ,Criminal Arrest 
Theft ,19-0525 ,Hanszen College ,12/30/2019 11:04 p.m. ,12/7/2019,midnight ,Saturday,12/08/2019 midnight ,Inactive 
Theft ,20-0001 ,Cambridge Building ,01/02/2020 9:01 a.m. ,12/20/2019,1 p.m. ,Friday,01/02/2020 9 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0003 ,Brian Patterson Complex ,01/06/2020 10:28 a.m. ,1/1/2020,9 a.m. ,Wednesday,01/02/2020 noon ,Inactive 
Warrants ,20-0005 ,Herman Brown Hall ,01/06/2020 1:58 p.m. ,1/6/2020,1:58 p.m. ,Monday,01/06/2020 3:03 p.m. ,Criminal Arrest 
Theft ,20-0006 ,Cambridge Building ,01/07/2020 8:31 a.m. ,12/15/2019,7 a.m. ,Sunday,01/06/2020 10 a.m. ,Inactive 
Criminal Trespass ,20-0008 ,Hanszen College ,01/09/2020 10:54 a.m. ,1/9/2020,10:54 a.m. ,Thursday,01/09/2020 2:57 p.m. ,Criminal Arrest 
Warrants ,20-0009 ,Off Campus ,01/09/2020 11:04 p.m. ,1/9/2020,11:04 p.m. ,Thursday,01/10/2020 2:20 a.m. ,Criminal Arrest 
Theft ,20-0010 ,Rice Graduate Apartments ,01/10/2020 12:25 p.m. ,1/6/2020,8 a.m. ,Monday,01/10/2020 midnight ,Inactive 
Theft ,20-0011 ,Facilities &amp; Engineering ,01/10/2020 12:02 p.m. ,1/10/2020,8 a.m. ,Friday,01/17/2020 noon ,Inactive 
Warrants ,20-0012 ,Entrance #13A ,01/11/2020 4:02 p.m. ,1/11/2020,4:02 p.m. ,Saturday,01/11/2020 5:16 p.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,20-0013 ,Brown College ,01/11/2020 11:03 p.m. ,1/11/2020,6 p.m. ,Saturday,01/11/2020 11 p.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,20-0014 ,Brown College ,01/12/2020 2:23 a.m. ,1/12/2020,2:24 a.m. ,Sunday,01/12/2020 2:37 a.m. ,Judicial Referral 
Burglary (Clery) ,20-0015 ,Martel College ,01/12/2020 8:46 p.m. ,12/18/2019,7 p.m. ,Wednesday,01/12/2020 4:45 p.m. ,Inactive 
Terroristic Threat ,20-0016 ,Jesse H. Jones School ,01/13/2020 8:43 a.m. ,1/10/2020,8:30 a.m. ,Friday,01/13/2020 12:30 p.m. ,Inactive 
Burglary (Clery) ,20-0018 ,Brown College ,01/13/2020 11:03 a.m. ,12/13/2019,8 a.m. ,Friday,01/11/2020 8 p.m. ,Inactive 
Theft ,20-0019 ,Tudor Field House ,01/13/2020 7 p.m. ,1/11/2020,4 p.m. ,Saturday,01/13/2020 6 p.m. ,Inactive 
Burglary (Clery) ,20-0020 ,Brown College ,01/13/2020 6:16 p.m. ,12/14/2019,2 p.m. ,Saturday,01/13/2020 5 p.m. ,Inactive 
Burglary (Clery) ,20-0021 ,Hanszen College ,01/13/2020 10:23 p.m. ,12/19/2019,noon ,Thursday,01/12/2020 6 p.m. ,Inactive 
Burglary (Clery) ,20-0022 ,Wiess College ,01/15/2020 7:57 a.m. ,12/1/2019,midnight ,Sunday,01/11/2020 9 p.m. ,Inactive 
Theft ,20-0023 ,Jesse H. Jones School ,01/15/2020 9:50 a.m. ,1/13/2020,7 p.m. ,Monday,01/14/2020 7 a.m. ,Inactive 
Burglary (Clery) ,20-0026 ,Wiess College ,01/15/2020 9:07 p.m. ,12/17/2019,4 p.m. ,Tuesday,01/12/2020 9 a.m. ,Inactive 
Theft ,20-0027 ,A. P. Brown Hall ,01/16/2020 11:10 p.m. ,1/16/2020,8 p.m. ,Thursday,01/16/2020 11 p.m. ,Inactive 
Theft ,20-0028 ,Cambridge Building ,01/17/2020 4:09 p.m. ,1/17/2020,12:30 p.m. ,Friday,01/17/2020 1:30 p.m. ,Inactive 
Disorderly Conduct ,20-0029 ,Will Rice College ,01/19/2020 12:17 a.m. ,1/19/2020,12:13 a.m. ,Sunday,01/19/2020 12:16 a.m. ,Judicial Referral 
Theft ,20-0030 ,Valhalla ,01/19/2020 12:10 p.m. ,1/18/2020,8 p.m. ,Saturday,01/18/2020 11:59 p.m. ,Inactive 
Burglary (Clery) ,20-0031 ,Duncan College ,01/19/2020 5:32 p.m. ,12/20/2019,midnight ,Friday,01/18/2020 midnight ,Inactive 
Theft ,20-0032 ,Fondren Library ,01/20/2020 11:20 a.m. ,1/20/2020,10 a.m. ,Monday,01/20/2020 11:05 a.m. ,Inactive 
Failure to Stop and Give Information ,20-0033 ,Entrance #3 ,01/20/2020 6:36 p.m. ,1/20/2020,5 a.m. ,Monday,01/20/2020 4 p.m. ,Inactive 
Burglary (Clery) ,20-0035 ,Martel College ,01/21/2020 11:42 a.m. ,12/18/2019,midnight ,Wednesday,01/20/2020 10 p.m. ,Inactive 
Theft ,20-0037 ,Fondren Library ,01/24/2020 2:09 p.m. ,1/23/2020,11:30 a.m. ,Thursday,01/23/2020 12:30 p.m. ,Inactive 
Theft ,20-0038 ,Will Rice College ,01/24/2020 2:14 p.m. ,12/15/2019,1:38 p.m. ,Sunday,01/24/2020 midnight ,Inactive 
Fraud ,20-0039 ,Off Campus ,01/26/2020 6:30 p.m. ,1/26/2020,5 p.m. ,Sunday,01/26/2020 5 p.m. ,Inactive 
Theft ,20-0040 ,Hanszen College ,01/26/2020 7 p.m. ,1/26/2020,2 a.m. ,Sunday,01/26/2020 6 p.m. ,Inactive 
Theft ,20-0041 ,George R Brown Tennis ,01/26/2020 9:57 p.m. ,12/20/2019,noon ,Friday,01/10/2020 noon ,Inactive 
Theft ,20-0042 ,Fondren Library ,01/28/2020 12:02 a.m. ,1/27/2020,4 p.m. ,Monday,01/27/2020 9:30 p.m. ,Inactive 
Fraud ,20-0043 ,Rice Village Apartments ,01/27/2020 11:57 p.m. ,1/27/2020,4 p.m. ,Monday,01/27/2020 4:30 p.m. ,Inactive 
Theft ,20-0044 ,Willys Pub ,01/28/2020 9:35 a.m. ,1/28/2020,2 a.m. ,Tuesday,01/28/2020 8:20 a.m. ,Judicial Referral 
Theft ,20-0046 ,Will Rice College ,01/29/2020 10:05 a.m. ,1/28/2020,8:45 p.m. ,Tuesday,01/29/2020 8:20 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0047 ,Rice Stadium ,01/28/2020 4:11 p.m. ,1/6/2020,8 a.m. ,Monday,01/28/2020 4 p.m. ,Unfounded 
Fraud ,20-0048 ,College Way ,01/29/2020 3:30 p.m. ,1/29/2020,2 p.m. ,Wednesday,01/29/2020 2 p.m. ,Inactive 
Harassment ,20-0049 ,Mudd Lab ,01/29/2020 4:34 p.m. ,1/21/2020,11:51 a.m. ,Tuesday,01/29/2020 4:30 p.m. ,Inactive 
Theft ,20-0050 ,Rice Memorial Center ,01/29/2020 7:52 p.m. ,1/29/2020,3 p.m. ,Wednesday,01/29/2020 4 p.m. ,Inactive 
Theft ,20-0051 ,Fondren Library ,01/29/2020 9:42 p.m. ,1/29/2020,6:25 p.m. ,Wednesday,01/29/2020 9:15 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0052 ,Tudor Field House ,01/30/2020 1:01 p.m. ,1/30/2020,1:05 p.m. ,Thursday,01/30/2020 1:29 p.m. ,Inactive 
Theft ,20-0053 ,Rice Memorial Center ,01/30/2020 10:17 p.m. ,1/30/2020,3 p.m. ,Thursday,01/30/2020 6 p.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,20-0054 ,Duncan College ,01/31/2020 2:23 p.m. ,1/31/2020,2:30 p.m. ,Friday,01/31/2020 4:26 p.m. ,Judicial Referral 
Theft ,20-0055 ,Will Rice College ,02/01/2020 1:01 p.m. ,1/31/2020,7:15 p.m. ,Friday,02/01/2020 9 a.m. ,Inactive 
Alcohol Violations (Clery) ,20-0056 ,McMurtry College ,02/01/2020 9:28 p.m. ,2/1/2020,9 p.m. ,Saturday,02/02/2020 2 a.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,20-0057 ,North Lot ,02/02/2020 11:53 a.m. ,2/2/2020,1:30 a.m. ,Sunday,02/02/2020 11:25 a.m. ,Inactive 
Warrants ,20-0058 ,Rec Center ,02/03/2020 7:33 a.m. ,2/3/2020,7:33 a.m. ,Monday,02/03/2020 11:10 a.m. ,Criminal Arrest 
Theft ,20-0060 ,Fondren Library ,02/03/2020 4:59 p.m. ,2/3/2020,3 p.m. ,Monday,02/03/2020 4:55 p.m. ,Inactive 
Theft ,20-0061 ,Geology ,02/04/2020 9:10 a.m. ,2/3/2020,9 a.m. ,Monday,02/03/2020 9:15 a.m. ,Inactive 
Theft ,20-0063 ,Sewall Hall ,02/05/2020 11:21 a.m. ,2/3/2020,6 p.m. ,Monday,02/05/2020 10 p.m. ,Inactive 
Burglary of a Motor Vehicle ,20-0064 ,Rice Village Apartments ,02/05/2020 11:49 a.m. ,2/4/2020,6:20 p.m. ,Tuesday,02/05/2020 11:46 a.m. ,Inactive 
Fraud ,20-0065 ,Anderson Hall ,02/05/2020 2:30 p.m. ,2/21/2019,midnight ,Thursday,02/05/2020 2 p.m. ,Cleared 
Theft ,20-0067 ,Cambridge Building ,02/06/2020 6:01 p.m. ,2/6/2020,4:30 p.m. ,Thursday,02/06/2020 5 p.m. ,Inactive 
Warrants ,20-0068 ,Off Campus ,02/07/2020 2:23 p.m. ,2/7/2020,2:23 p.m. ,Friday,02/07/2020 3:26 p.m. ,Criminal Arrest 
Theft ,20-0069 ,Sewall Hall ,02/08/2020 3:52 p.m. ,2/8/2020,3 p.m. ,Saturday,02/08/2020 3:40 p.m. ,Inactive 
Theft ,20-0071 ,Brochstein Pavilion ,02/09/2020 6:16 p.m. ,2/9/2020,1:50 p.m. ,Sunday,02/09/2020 4:50 p.m. ,Inactive 
Fraud ,20-0072 ,Off Campus ,02/09/2020 7:01 p.m. ,2/8/2020,5 p.m. ,Saturday,02/08/2020 7 p.m. ,Inactive 
Criminal Mischief ,20-0073 ,Rice Village Apartments ,02/10/2020 9:40 a.m. ,2/5/2020,9:30 a.m. ,Wednesday,02/05/2020 1:50 p.m. ,Inactive 
Burglary of a Motor Vehicle ,20-0074 ,West Lot ,02/10/2020 1:54 p.m. ,2/9/2020,7:02 p.m. ,Sunday,02/10/2020 1:50 p.m. ,Inactive 
Theft ,20-0075 ,Lovett College ,02/10/2020 3:54 p.m. ,2/10/2020,12:20 p.m. ,Monday,02/10/2020 1:15 p.m. ,Inactive 
Driving While Intoxicated ,20-0076 ,College Way ,02/11/2020 9:19 p.m. ,2/11/2020,8 p.m. ,Tuesday,02/11/2020 9:20 p.m. ,Criminal Arrest 
Theft ,20-0077 ,Martel College ,02/14/2020 4:57 p.m. ,2/14/2020,1 p.m. ,Friday,02/14/2020 2:15 p.m. ,Inactive 
Theft ,20-0078 ,Duncan College ,02/14/2020 8:45 p.m. ,2/13/2020,8:50 p.m. ,Thursday,02/14/2020 4:45 p.m. ,Inactive 
Theft ,20-0079 ,Moody Center ,02/15/2020 12:02 p.m. ,2/14/2020,5 p.m. ,Friday,02/15/2020 11:30 a.m. ,Inactive 
Possession of Fraudlent Identification ,20-0081 ,West Lot ,02/17/2020 6:01 a.m. ,2/17/2020,5:46 a.m. ,Monday,02/17/2020 10:59 a.m. ,Judicial Referral 
Failure to Stop and Give Information ,20-0082 ,West Lot ,02/17/2020 5:25 p.m. ,2/17/2020,7:45 a.m. ,Monday,02/17/2020 5:30 p.m. ,Inactive 
Criminal Trespass ,20-0086 ,Entrance #5 ,02/21/2020 1:39 p.m. ,2/21/2020,1:39 p.m. ,Friday,02/21/2020 1:41 p.m. ,County Citiation 
Warrants ,20-0088 ,Lot 6 ,02/24/2020 11:48 a.m. ,2/24/2020,11:48 a.m. ,Monday,02/24/2020 12:08 p.m. ,County Citiation 
Theft ,20-0089 ,Reckling Park ,02/24/2020 1:49 p.m. ,2/24/2020,1:50 p.m. ,Monday,02/24/2020 1:52 p.m. ,Criminal Arrest 
Theft ,20-0090 ,Rec Center ,02/24/2020 5:23 p.m. ,2/24/2020,12:30 p.m. ,Monday,02/24/2020 5:30 p.m. ,Inactive 
Theft ,20-0091 ,West Lot ,02/25/2020 12:14 p.m. ,2/8/2020,3 p.m. ,Saturday,02/25/2020 noon ,Inactive 
Theft ,20-0092 ,Hanszen College ,02/25/2020 12:57 p.m. ,2/13/2020,11:25 a.m. ,Thursday,02/14/2020 11:43 a.m. ,Inactive 
Theft ,20-0093 ,Baker College ,02/26/2020 10:36 a.m. ,2/25/2020,1 p.m. ,Tuesday,02/26/2020 9 a.m. ,Inactive 
Theft ,20-0094 ,Tudor Field House ,02/26/2020 8:29 p.m. ,2/26/2020,7 p.m. ,Wednesday,02/26/2020 8:30 p.m. ,Inactive 
Failure to Stop and Give Information ,20-0098 ,Entrance #20 ,02/28/2020 7:02 p.m. ,2/28/2020,7:03 p.m. ,Friday,02/28/2020 7:10 p.m. ,Cleared 
Drug/Narcotic Violations (Clery) ,20-0102 ,Post Office ,03/02/2020 10:52 a.m. ,3/2/2020,10:52 a.m. ,Monday,03/02/2020 11:44 a.m. ,Criminal Arrest 
Drug/Narcotic Violations (Clery) ,20-0103 ,Duncan College ,03/02/2020 3:37 p.m. ,3/2/2020,3 p.m. ,Monday,03/02/2020 4:07 p.m. ,Judicial Referral 
Criminal Mischief ,20-0105 ,Greenbriar Lot ,03/03/2020 10:03 a.m. ,3/2/2020,1 p.m. ,Monday,03/02/2020 8:30 p.m. ,Inactive 
Theft ,20-0106 ,BRC ,03/02/2020 3:58 p.m. ,2/28/2020,6 p.m. ,Friday,03/02/2020 10 a.m. ,Inactive 
Criminal Trespass ,20-0107 ,West Lot ,03/06/2020 7:46 a.m. ,3/6/2020,7:46 a.m. ,Friday,03/06/2020 9:16 a.m. ,County Citiation 
Theft ,20-0108 ,Hanszen College ,03/06/2020 9:15 p.m. ,3/6/2020,7 p.m. ,Friday,03/06/2020 8 p.m. ,Inactive 
Warrants ,20-0109 ,Sid Richardson College ,03/09/2020 6:04 a.m. ,3/9/2020,6:04 a.m. ,Monday,03/09/2020 6:20 a.m. ,Criminal Arrest 
Theft ,20-0111 ,Allen Center ,03/10/2020 12:49 p.m. ,2/7/2020,midnight ,Friday,02/19/2020 midnight ,Cleared 
Theft ,20-0113 ,Rice University Police ,03/11/2020 11:22 a.m. ,2/27/2020,noon ,Thursday,03/05/2020 1:45 p.m. ,Inactive 
Theft ,20-0114 ,Off Campus ,03/11/2020 6:53 p.m. ,3/11/2020,6:53 p.m. ,Wednesday,03/11/2020 6:53 p.m. ,Cleared 
Criminal Trespass ,20-0116 ,Anderson Biology ,03/13/2020 2:20 p.m. ,3/13/2020,2:20 p.m. ,Friday,03/13/2020 4:04 p.m. ,Criminal Arrest 
Burglary (Clery) ,20-0117 ,IBC Building-5615 Kirby ,03/14/2020 2:14 p.m. ,3/14/2020,12:55 p.m. ,Saturday,03/14/2020 1:10 p.m. ,Inactive 
Failure to Stop and Give Information ,20-0118 ,Soft Sidewalk ,03/15/2020 3:46 a.m. ,3/15/2020,3:48 a.m. ,Sunday,03/15/2020 3:50 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0119 ,Cohen House ,03/16/2020 9:56 a.m. ,3/13/2020,5:45 p.m. ,Friday,03/16/2020 6 a.m. ,Inactive 
Theft ,20-0120 ,Rice Memorial Center ,03/17/2020 2:51 p.m. ,3/17/2020,11:30 a.m. ,Tuesday,03/17/2020 2:30 p.m. ,Inactive 
Theft ,20-0121 ,Lovett College ,03/21/2020 11:05 a.m. ,3/20/2020,8:30 p.m. ,Friday,03/21/2020 1 a.m. ,Inactive 
Theft ,20-0122 ,Herring Hall ,03/24/2020 3:28 p.m. ,3/20/2020,noon ,Friday,03/24/2020 noon ,Inactive 
Criminal Mischief ,20-0123 ,Brian Patterson Complex ,03/25/2020 2:19 a.m. ,3/25/2020,2:19 a.m. ,Wednesday,03/25/2020 2:19 a.m. ,Inactive 
Burglary (Clery) ,20-0124 ,Jesse H. Jones School ,03/30/2020 12:15 p.m. ,3/17/2020,1 p.m. ,Tuesday,03/30/2020 9:30 a.m. ,Inactive 
Theft ,20-0126 ,Abercrombie ,03/31/2020 1:14 p.m. ,3/21/2020,10 a.m. ,Saturday,03/31/2020 12:50 p.m. ,Inactive 
Burglary (Clery) ,20-0128 ,West Lot ,04/03/2020 8:17 a.m. ,4/3/2020,8 a.m. ,Friday,04/03/2020 10:27 a.m. ,Criminal Arrest 
Criminal Trespass ,20-0131 ,Greenbriar Lot ,04/08/2020 4:37 p.m. ,4/8/2020,4:42 p.m. ,Wednesday,04/08/2020 5:19 p.m. ,County Citiation 
Theft ,20-0132 ,Rec Center ,04/08/2020 5:59 p.m. ,4/8/2020,5:10 p.m. ,Wednesday,04/08/2020 5:45 p.m. ,Inactive 
Theft ,20-0133 ,Entrance #17 ,04/11/2020 8:10 a.m. ,4/11/2020,8:11 a.m. ,Saturday,04/11/2020 8:11 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0134 ,Allen Center ,04/13/2020 12:42 p.m. ,3/17/2020,midnight ,Tuesday,04/14/2020 11:50 a.m. ,Unfounded 
Sex Offenses (Non-Forcible) (Clery) ,20-0135 ,Off Campus ,04/17/2020 1:49 p.m. ,4/17/2020,12:45 p.m. ,Friday,04/17/2020 1 p.m. ,Inactive 
